text;topic;predicted;extra;not_predicted
478;досуг, зрелища и развлечения,частная жизнь;администрация и управление;администрация и управление;досуг, зрелища и развлечения,частная жизнь
11445;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,строительство и архитектура
4862;политика и общественная жизнь;политика и общественная жизнь;;
587;политика и общественная жизнь;политика и общественная жизнь;;
2504;экономика,бизнес,бизнес, коммерция, экономика, финансы;сельское хозяйство;сельское хозяйство;экономика,бизнес,бизнес, коммерция, экономика, финансы
1286;политика и общественная жизнь;политика и общественная жизнь;;
5460;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы;сельское хозяйство;;экономика,бизнес,бизнес, коммерция, экономика, финансы
1989;политика и общественная жизнь;политика и общественная жизнь;;
7295;политика и общественная жизнь;экономика;экономика;политика и общественная жизнь
7651;экономика,бизнес,бизнес, коммерция, экономика, финансы;строительство,строительство и архитектура;строительство,строительство и архитектура;экономика,бизнес,бизнес, коммерция, экономика, финансы
8565;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11126;частная жизнь;дом и домашнее хозяйство;дом и домашнее хозяйство;частная жизнь
3236;политика и общественная жизнь;политика и общественная жизнь;;
4789;религия;политика и общественная жизнь;политика и общественная жизнь;религия
5613;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
2854;досуг, зрелища и развлечения;дом и домашнее хозяйство;дом и домашнее хозяйство;досуг, зрелища и развлечения
1939;частная жизнь;частная жизнь;;
3005;политика и общественная жизнь;дом и домашнее хозяйство;дом и домашнее хозяйство;политика и общественная жизнь
3041;политика и общественная жизнь;политика и общественная жизнь;;
7422;образование;администрация и управление;администрация и управление;образование
7760;политика и общественная жизнь;экономика;экономика;политика и общественная жизнь
4679;политика и общественная жизнь;политика и общественная жизнь;;
4497;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
4700;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
1477;техника,образование;администрация и управление;администрация и управление;техника,образование
10937;искусство и культура;искусство и культура;;
8871;спорт;спорт;;
8558;производство;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;производство
2599;образование;политика и общественная жизнь;политика и общественная жизнь;образование
1351;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
3889;политика и общественная жизнь;политика и общественная жизнь;;
3244;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
9175;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
6527;транспорт,политика и общественная жизнь,спорт;администрация и управление;администрация и управление;транспорт,политика и общественная жизнь,спорт
11718;частная жизнь;частная жизнь;;
7690;криминал;право;право;криминал
7938;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
4758;здоровье и медицина,администрация и управление;администрация и управление;;здоровье и медицина
10107;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
4666;техника,образование;администрация и управление;администрация и управление;техника,образование
8940;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
5368;транспорт,строительство,спорт;политика и общественная жизнь;политика и общественная жизнь;транспорт,спорт,строительство
5837;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
3305;здоровье и медицина,образование;спорт;спорт;здоровье и медицина,образование
11704;политика и общественная жизнь;политика и общественная жизнь;;
11037;частная жизнь;армия и вооруженные конфликты;армия и вооруженные конфликты;частная жизнь
6735;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
4330;производство;производство;;
1618;политика и общественная жизнь;политика и общественная жизнь;;
890;криминал;криминал;;
3483;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
9748;строительство и архитектура,строительство;строительство,строительство и архитектура;;
10577;образование;политика и общественная жизнь;политика и общественная жизнь;образование
8725;спорт;частная жизнь;частная жизнь;спорт
8535;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
2889;политика и общественная жизнь;криминал;криминал;политика и общественная жизнь
4140;политика и общественная жизнь;политика и общественная жизнь;;
4811;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
1844;здоровье и медицина,происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия,здоровье и медицина
11380;администрация и управление,образование;политика и общественная жизнь;политика и общественная жизнь;администрация и управление,образование
5355;право,политика и общественная жизнь;политика и общественная жизнь;;право
4090;природа;политика и общественная жизнь;политика и общественная жизнь;природа
11468;политика и общественная жизнь;политика и общественная жизнь;;
8753;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
11517;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
9288;политика и общественная жизнь;политика и общественная жизнь;;
8987;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы
7851;администрация и управление,транспорт,спорт;администрация и управление;;транспорт,спорт
7206;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь;;армия и вооруженные конфликты
480;политика и общественная жизнь;политика и общественная жизнь;;
7721;политика и общественная жизнь;политика и общественная жизнь;;
11538;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
6608;политика и общественная жизнь;политика и общественная жизнь;;
2506;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
1586;политика и общественная жизнь;политика и общественная жизнь;;
3906;здоровье и медицина,спорт;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,спорт
7170;политика и общественная жизнь;политика и общественная жизнь;;
7669;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
95;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
3569;политика и общественная жизнь;наука и технологии;наука и технологии;политика и общественная жизнь
605;транспорт,спорт;политика и общественная жизнь;политика и общественная жизнь;транспорт,спорт
11182;образование;политика и общественная жизнь;политика и общественная жизнь;образование
2576;администрация и управление,техника;администрация и управление;;техника
2155;политика и общественная жизнь;политика и общественная жизнь;;
1716;спорт;бизнес;бизнес;спорт
3631;транспорт,спорт;политика и общественная жизнь;политика и общественная жизнь;транспорт,спорт
7621;спорт;администрация и управление;администрация и управление;спорт
11344;путешествия;политика и общественная жизнь;политика и общественная жизнь;путешествия
4016;строительство и архитектура,строительство;строительство,строительство и архитектура;;
4238;администрация и управление,политика и общественная жизнь;политика и общественная жизнь;;администрация и управление
976;политика и общественная жизнь;политика и общественная жизнь;;
10959;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство
6783;дом и домашнее хозяйство,частная жизнь;политика и общественная жизнь;политика и общественная жизнь;дом и домашнее хозяйство,частная жизнь
5822;администрация и управление;администрация и управление;;
5093;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
10573;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
1756;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
9386;политика и общественная жизнь;политика и общественная жизнь;;
5506;право,политика и общественная жизнь;политика и общественная жизнь;;право
10811;здоровье и медицина,администрация и управление;администрация и управление;;здоровье и медицина
3910;здоровье и медицина,частная жизнь;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,частная жизнь
4584;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
5211;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
2593;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
6217;транспорт,политика и общественная жизнь,спорт;администрация и управление;администрация и управление;транспорт,политика и общественная жизнь,спорт
6662;спорт;политика и общественная жизнь;политика и общественная жизнь;спорт
8438;политика и общественная жизнь;политика и общественная жизнь;;
2961;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
10135;искусство и культура;искусство и культура;;
6171;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
4999;администрация и управление;спорт;спорт;администрация и управление
1874;право,политика и общественная жизнь;политика и общественная жизнь;;право
5013;политика и общественная жизнь;политика и общественная жизнь;;
5015;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1352;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
2265;происшествия;происшествия;;
86;религия;политика и общественная жизнь;политика и общественная жизнь;религия
11531;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2921;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
995;политика и общественная жизнь;криминал;криминал;политика и общественная жизнь
9749;искусство и культура;искусство и культура;;
5291;дом и домашнее хозяйство;политика и общественная жизнь;политика и общественная жизнь;дом и домашнее хозяйство
3218;право;спорт;спорт;право
7022;здоровье и медицина,образование;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,образование
11020;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
2975;политика и общественная жизнь;политика и общественная жизнь;;
4835;право;политика и общественная жизнь;политика и общественная жизнь;право
4899;спорт;спорт;;
6056;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
11783;криминал;криминал;;
8089;спорт;производство;производство;спорт
2911;экология;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;экология
8760;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
3283;транспорт,спорт;криминал;криминал;транспорт,спорт
5050;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
9235;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
3304;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
10691;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
370;криминал;криминал;;
6231;право;право;;
2313;криминал;криминал;;
7122;дом и домашнее хозяйство,частная жизнь;здоровье и медицина;здоровье и медицина;дом и домашнее хозяйство,частная жизнь
6888;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
2899;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес;;экономика,бизнес, коммерция, экономика, финансы
6154;администрация и управление;администрация и управление;;
6453;администрация и управление;администрация и управление;;
9210;путешествия,политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь,путешествия
8778;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
2040;природа;транспорт,спорт;транспорт,спорт;природа
6652;политика и общественная жизнь;политика и общественная жизнь;;
5308;право;политика и общественная жизнь;политика и общественная жизнь;право
11636;производство;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;производство
1785;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
10132;образование;администрация и управление;администрация и управление;образование
879;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
248;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
8703;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
302;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
2085;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
3896;администрация и управление,лесное хозяйство;администрация и управление;;лесное хозяйство
6027;экономика,бизнес,бизнес, коммерция, экономика, финансы;дом и домашнее хозяйство;дом и домашнее хозяйство;экономика,бизнес,бизнес, коммерция, экономика, финансы
6778;право,политика и общественная жизнь;политика и общественная жизнь,право;;
1272;право;криминал;криминал;право
5997;образование;политика и общественная жизнь;политика и общественная жизнь;образование
3214;политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь
3355;экономика,бизнес,бизнес, коммерция, экономика, финансы;частная жизнь;частная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
5688;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1387;право;право;;
2806;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
4813;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
2828;спорт;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;спорт
10329;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
7326;здоровье и медицина;администрация и управление;администрация и управление;здоровье и медицина
545;досуг, зрелища и развлечения,политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь,досуг, зрелища и развлечения
11486;частная жизнь;частная жизнь;;
7256;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
6415;производство;производство;;
592;происшествия;происшествия;;
9358;политика и общественная жизнь;дом и домашнее хозяйство;дом и домашнее хозяйство;политика и общественная жизнь
756;происшествия;политика и общественная жизнь;политика и общественная жизнь;происшествия
10560;частная жизнь,религия;политика и общественная жизнь;политика и общественная жизнь;религия,частная жизнь
3107;производство;политика и общественная жизнь;политика и общественная жизнь;производство
5334;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
10464;строительство и архитектура,строительство;строительство,строительство и архитектура;;
7281;право,экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь,право;;экономика,бизнес,бизнес, коммерция, экономика, финансы
4377;искусство и культура;досуг, зрелища и развлечения;досуг, зрелища и развлечения;искусство и культура
8297;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2532;криминал;политика и общественная жизнь;политика и общественная жизнь;криминал
1812;политика и общественная жизнь;политика и общественная жизнь;;
2322;здоровье и медицина,статистика,наука и технологии;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,статистика,наука и технологии
3791;политика и общественная жизнь;политика и общественная жизнь;;
8384;образование,искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура,образование
9616;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
2015;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
2496;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
6722;производство;политика и общественная жизнь;политика и общественная жизнь;производство
7758;образование;политика и общественная жизнь;политика и общественная жизнь;образование
5906;политика и общественная жизнь;политика и общественная жизнь;;
11022;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
10942;частная жизнь;искусство и культура;искусство и культура;частная жизнь
11791;криминал;история,путешествия;путешествия,история;криминал
11474;история,политика и общественная жизнь;история;;политика и общественная жизнь
1944;политика и общественная жизнь;происшествия;происшествия;политика и общественная жизнь
1388;религия;производство;производство;религия
7893;политика и общественная жизнь;политика и общественная жизнь;;
7503;строительство и архитектура,техника,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,техника,строительство и архитектура
5855;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;экономика,бизнес
8298;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
7696;искусство и культура;администрация и управление;администрация и управление;искусство и культура
5869;право,администрация и управление;администрация и управление;;право
6350;политика и общественная жизнь;спорт;спорт;политика и общественная жизнь
11245;сельское хозяйство;администрация и управление;администрация и управление;сельское хозяйство
5701;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
829;путешествия;политика и общественная жизнь;политика и общественная жизнь;путешествия
5193;досуг, зрелища и развлечения,искусство и культура;администрация и управление;администрация и управление;искусство и культура,досуг, зрелища и развлечения
11188;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;энергетика;;экономика,бизнес,бизнес, коммерция, экономика, финансы
1858;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
2080;дом и домашнее хозяйство;дом и домашнее хозяйство;;
10028;энергетика,администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление,энергетика
2152;искусство и культура;искусство и культура,политика и общественная жизнь;политика и общественная жизнь;
3812;администрация и управление;строительство и архитектура;строительство и архитектура;администрация и управление
5950;строительство и архитектура,строительство;политика и общественная жизнь;политика и общественная жизнь;строительство,строительство и архитектура
9230;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы;администрация и управление;администрация и управление;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы
537;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
4100;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;экономика,бизнес,бизнес, коммерция, экономика, финансы
1240;политика и общественная жизнь;строительство и архитектура;строительство и архитектура;политика и общественная жизнь
5480;религия;частная жизнь;частная жизнь;религия
1861;спорт;искусство и культура;искусство и культура;спорт
7099;образование;политика и общественная жизнь;политика и общественная жизнь;образование
5615;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4393;политика и общественная жизнь;политика и общественная жизнь;;
8865;политика и общественная жизнь;политика и общественная жизнь;;
9659;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
9449;армия и вооруженные конфликты;политика и общественная жизнь;политика и общественная жизнь;армия и вооруженные конфликты
8681;частная жизнь;строительство,строительство и архитектура;строительство,строительство и архитектура;частная жизнь
11391;политика и общественная жизнь;политика и общественная жизнь;;
825;политика и общественная жизнь;политика и общественная жизнь;;
5095;политика и общественная жизнь;искусство и культура;искусство и культура;политика и общественная жизнь
2567;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
8059;экономика,бизнес,бизнес, коммерция, экономика, финансы;дом и домашнее хозяйство;дом и домашнее хозяйство;экономика,бизнес,бизнес, коммерция, экономика, финансы
10139;администрация и управление,экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;администрация и управление,экономика,бизнес,бизнес, коммерция, экономика, финансы
9787;строительство и архитектура,строительство;строительство,строительство и архитектура;;
3258;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
4612;право;политика и общественная жизнь;политика и общественная жизнь;право
11418;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
11518;частная жизнь;частная жизнь;;
10729;администрация и управление;частная жизнь;частная жизнь;администрация и управление
11477;частная жизнь;частная жизнь;;
1291;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
7617;путешествия;политика и общественная жизнь;политика и общественная жизнь;путешествия
2435;транспорт,спорт;администрация и управление;администрация и управление;транспорт,спорт
8489;политика и общественная жизнь;политика и общественная жизнь;;
3845;политика и общественная жизнь;политика и общественная жизнь;;
1969;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
5590;политика и общественная жизнь;политика и общественная жизнь;;
1087;частная жизнь,наука и технологии,искусство и культура;администрация и управление;администрация и управление;искусство и культура,наука и технологии,частная жизнь
9894;политика и общественная жизнь;политика и общественная жизнь;;
162;политика и общественная жизнь,спорт;происшествия;происшествия;политика и общественная жизнь,спорт
1807;политика и общественная жизнь;политика и общественная жизнь;;
8201;искусство и культура,религия;здоровье и медицина;здоровье и медицина;религия,искусство и культура
